source,packId,phase,ply,spineDepth,mainLine,pieceCount,legalCount,band,since,until,speeds,total,white,draws,black,movesGE100,movesGE400,topMoves,fen
main,anti-caro-advance-early-c5,opening,7,1,False,32,29,1400,2024-01,2026-07,blitz+rapid+classical,288465,128080,10899,149486,10,7,Nc6:139091:61207/5274/72610;Bg4:90489:38609/3423/48457;cxd4:39963:19117/1474/19372;e6:8398:4039/293/4066;Bf5:5442:2611/236/2595;c4:2153:1081/80/992;a6:2043:945/83/1015;Qb6:181:94/15/72;Nd7:170:89/2/79;f6:133:59/3/71;Qa5+:98:58/3/37;b6:90:53/2/35,rnbqkbnr/pp2pppp/8/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4
main,anti-caro-advance-early-c5,opening,7,1,False,32,29,1600,2024-01,2026-07,blitz+rapid+classical,221906,96271,9169,116466,8,7,Nc6:114898:49227/4783/60888;Bg4:62882:26775/2578/33529;cxd4:31492:14303/1295/15894;e6:6001:2766/250/2985;Bf5:3404:1603/124/1677;c4:1505:757/67/681;a6:1182:557/50/575;Qb6:192:100/7/85;Nd7:69:37/4/28;h6:64:29/3/32;b6:45:26/4/15;f6:45:22/1/22,rnbqkbnr/pp2pppp/8/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4
main,anti-caro-advance-early-c5,opening,7,1,False,32,29,1800,2024-01,2026-07,blitz+rapid+classical,122255,53329,5416,63510,8,7,Nc6:68890:29596/3041/36253;Bg4:27142:11875/1227/14040;cxd4:20085:8988/901/10196;e6:3279:1501/126/1652;Bf5:1415:678/67/670;c4:625:309/24/292;a6:542:232/22/288;Qb6:142:77/5/60;Nd7:42:20/2/20;b6:18:13/1/4;g6:14:8/0/6;Qa5+:11:6/0/5,rnbqkbnr/pp2pppp/8/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4
main,anti-caro-advance-early-c5,opening,8,2,False,31,36,1400,2024-01,2026-07,blitz+rapid+classical,39964,19122,1475,19367,5,3,Nxd4:24427:11810/882/11735;Qxd4:14111:6608/549/6954;Bb5+:750:382/28/340;c3:289:146/6/137;Bd3:126:62/3/61;Bf4:57:24/0/33;Ng5:56:26/3/27;Qd3:25:11/0/14;c4:21:14/1/6;Bg5:17:6/0/11;Be2:16:5/0/11;h3:14:7/1/6,rnbqkbnr/pp2pppp/8/3pP3/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5
main,anti-caro-advance-early-c5,opening,8,2,False,31,36,1600,2024-01,2026-07,blitz+rapid+classical,31501,14314,1294,15893,5,3,Nxd4:19342:8876/802/9664;Qxd4:10438:4646/428/5364;Bb5+:815:387/34/394;c3:340:160/6/174;Bd3:281:123/12/146;Bf4:56:26/3/27;Ng5:37:9/1/27;Bg5:35:18/1/16;c4:29:16/3/10;h3:23:13/0/10;Be2:23:10/1/12;Qd3:17:7/1/9,rnbqkbnr/pp2pppp/8/3pP3/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5
main,anti-caro-advance-early-c5,opening,8,2,False,31,36,1800,2024-01,2026-07,blitz+rapid+classical,20082,8992,901,10189,5,3,Nxd4:12294:5489/582/6223;Qxd4:6322:2805/261/3256;Bb5+:581:271/17/293;Bd3:359:175/17/167;c3:333:155/17/161;Bf4:37:16/1/20;Be2:30:14/2/14;a3:24:16/1/7;c4:18:12/1/5;Nbd2:18:8/0/10;Bg5:13:7/0/6;Ng5:11:4/0/7,rnbqkbnr/pp2pppp/8/3pP3/3p4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5
main,anti-caro-advance-early-c5,opening,9,3,False,30,27,1400,2024-01,2026-07,blitz+rapid+classical,24727,11953,892,11882,10,3,Nc6:18635:8902/692/9041;e6:3879:1871/131/1877;a6:825:395/27/403;Qb6:269:162/10/97;f6:186:110/2/74;Nd7:166:86/5/75;Qc7:153:73/6/74;Bf5:137:90/5/42;Qa5+:131:66/4/61;g6:101:50/1/50;Bd7:96:52/4/40;Bg4:66:47/1/18,rnbqkbnr/pp2pppp/8/3pP3/3N4/8/PPP2PPP/RNBQKB1R b KQkq - 0 5
main,anti-caro-advance-early-c5,opening,9,3,False,30,27,1600,2024-01,2026-07,blitz+rapid+classical,19866,9115,816,9935,5,3,Nc6:15491:7082/642/7767;e6:2834:1264/125/1445;a6:839:391/31/417;Qb6:172:83/4/85;Qc7:103:58/1/44;Nd7:82:40/2/40;g6:73:31/3/39;Bf5:68:52/1/15;Bd7:61:28/2/31;Qa5+:51:31/1/19;f6:34:19/3/12;Bg4:24:17/1/6,rnbqkbnr/pp2pppp/8/3pP3/3N4/8/PPP2PPP/RNBQKB1R b KQkq - 0 5
main,anti-caro-advance-early-c5,opening,9,3,False,30,27,1800,2024-01,2026-07,blitz+rapid+classical,13120,5854,625,6641,3,3,Nc6:10703:4742/516/5445;e6:1625:719/79/827;a6:519:244/20/255;Qb6:80:43/4/33;Qc7:57:32/1/24;g6:33:12/3/18;Nd7:24:10/1/13;Bd7:21:15/0/6;Bf5:21:16/0/5;Qa5+:11:4/0/7;f6:7:3/0/4;Bg4:6:6/0/0,rnbqkbnr/pp2pppp/8/3pP3/3N4/8/PPP2PPP/RNBQKB1R b KQkq - 0 5
main,anti-caro-advance-early-c5,opening,7,1,False,32,29,1400,2024-01,2026-07,blitz+rapid+classical,503618,226723,19732,257163,12,9,Nc6:366762:162348/14246/190168;cxd4:77217:35617/3070/38530;Bf5:29965:14229/1250/14486;e6:14600:7228/580/6792;a6:6984:3115/282/3587;c4:3202:1760/123/1319;Qa5:1523:684/43/796;Qb6:1373:659/53/661;f6:533:273/24/236;g6:328:164/19/145;Nd7:294:168/10/116;h6:168:90/5/73,rnbqkbnr/pp2pppp/8/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4
